chu,pinyin,pinyin_go,thanh,han_viet,nghia,nghia_khac,bo_thu,nhieu,chu_de,cap,vi_du,vi_du_nghia,dong_nghia,trai_nghia,so_net,ngu_hanh,thang_goc,thang_bac,tan_suat
猪,zhū,zhu,1,trư,lợn,,,蛇|鹿|虫|马,thu,1,猪很胖。,Con lợn rất béo.,,,,,,,
鸭,yā,ya,1,áp,vịt,,,牛|鸡|兔|龙,thu,1,鸭子会游泳。,Vịt biết bơi.,,,,,,,
蛇,shé,she,2,xà,rắn,,,熊|狗|龙|鸭,thu,1,蛇没有脚。,Rắn không có chân.,,,,,,,
熊,xióng,xiong,2,hùng,gấu,,,马|鸭|虎|鸟,thu,1,熊很大。,Con gấu rất to.,,,,,,,
龙,lóng,long,2,long,rồng,,,虎|鸭|猫|鸟,thu,1,龙很威风。,Rồng rất oai phong.,,,,,,,
鹿,lù,lu,4,lộc,hươu,,,兔|牛|鸭|鸟,thu,1,鹿角很长。,Sừng hươu rất dài.,,,,,,,
半,bàn,ban,4,bán,nửa,,,零|两|个|百,so,1,半个小时。,Nửa tiếng đồng hồ.,,,,,,,
零,líng,ling,2,linh,số không,,,九|个|六|两,so,1,现在是零点。,Bây giờ là không giờ.,,,,,,,
两,liǎng,liang,3,lưỡng,hai (đôi),,,岁|个|八|一,so,1,两个人。,Hai người.,,,,,,,
个,gè,ge,4,cá,cái (lượng từ),,,六|四|八|七,so,1,一个苹果。,Một quả táo.,,,,,,,1
岁,suì,sui,4,tuế,tuổi,,,六|半|百|两,so,1,我十岁了。,Tôi mười tuổi rồi.,,,,,,,
东,dōng,dong,1,đông,phía đông,,,内|中|下|左,phuong,1,太阳从东边升起。,Mặt trời mọc từ phía đông.,,西,,,,,
西,xī,xi,1,tây,phía tây,,,后|前|左|上,phuong,1,太阳从西边落下。,Mặt trời lặn ở phía tây.,,东,,,,,
南,nán,nan,2,nam,phía nam,,,上|下|北|左,phuong,1,南方很热。,Phương nam rất nóng.,,北,,,,,
北,běi,bei,3,bắc,phía bắc,,,上|右|前|中,phuong,1,北方很冷。,Phương bắc rất lạnh.,,南,,,,,
内,nèi,nei,4,nội,bên trong,,,上|左|右|西,phuong,1,房间内很暖和。,Trong phòng rất ấm áp.,里,外,,,,,
春,chūn,chun,1,xuân,mùa xuân,,,夜|分|今|早,thoigian,2,春天很暖和。,Mùa xuân rất ấm áp.,,,,火,,,
夏,xià,xia,4,hạ,mùa hè,,,点|夜|春|周,thoigian,2,夏天很热。,Mùa hè rất nóng.,,冬,,火,,,
秋,qiū,qiu,1,thu,mùa thu,,,冬|时|点|春,thoigian,2,秋天很凉快。,Mùa thu rất mát mẻ.,,,,,,,
冬,dōng,dong,1,đông,mùa đông,,,年|夜|号|分,thoigian,2,冬天很冷。,Mùa đông rất lạnh.,,夏,,水,,,
点,diǎn,dian,3,điểm,giờ / chấm,,,周|夜|分|晚,thoigian,2,现在几点？,Bây giờ mấy giờ?,,,,,,,
号,hào,hao,4,hiệu,ngày / số,,,年|冬|夜|早,thoigian,2,今天几号？,Hôm nay ngày mấy?,,,,,,,
紫,zǐ,zi,3,tử,màu tím,,,绿|灰|红|黄,mau,2,紫色的花。,Bông hoa màu tím.,,,,,,,
灶,zào,zao,4,táo,bếp lò,lò bếp,火|土,灯|灾|炒,do_vat,2,妈妈在灶边做饭。,Mẹ đang nấu ăn cạnh bếp lò.,,,,,,,
泉,quán,quan,2,tuyền,suối,mạch nước,白|水,原|尿|永,thien_nhien,2,山上有一条清泉。,Trên núi có một dòng suối trong.,,,,,,,
渔,yú,yu,2,ngư,đánh cá,nghề chài,水|鱼,鱼|鲁|鲜,thien_nhien,2,渔民每天出海打渔。,Ngư dân ngày nào cũng ra khơi đánh cá.,,,,,,,
磊,lěi,lei,3,lỗi,đá chồng chất,ngay thẳng,石|石|石,众|晶|品|森,thien_nhien,2,地上堆着磊磊的石头。,Trên mặt đất chất đầy đá chồng chất.,,,15,土,石,3,4
冰山,bīngshān,bingshan,1,băng sơn,núi băng,băng trôi,冰|山,雪山|火山|高山,thien_nhien,2,海里漂着一座冰山。,Trên biển có một tảng băng trôi.,,,,,,,
毒草,dúcǎo,ducao,2,độc thảo,cỏ độc,cây có hại,毒|草,杂草|野草|香草,thien_nhien,2,沼泽里长着毒草。,Trong đầm lầy mọc đầy cỏ độc.,,,,,,,
魔,mó,mo,2,ma,yêu ma,phép thuật,,磨|摩|魂|魅,thu,3,传说里有恶魔。,Trong truyền thuyết có ác quỷ.,,,20,,,,3
灰,huī,hui,1,hôi,màu xám,,,黑|白|红|黄,mau,2,灰色的天空。,Bầu trời màu xám.,,,,,,,
万,wàn,wan,4,vạn,vạn (mười nghìn),,,方|力|历|七,so,2,一万个字。,Một vạn chữ.,,,,,,,
些,xiē,xie,1,ta,"vài, một ít",,此|二,此|皆|昔|措,so,1,一些水果。,Một ít trái cây.,,,,,,,
第,dì,di,4,đệ,thứ (số thứ tự),,竹|弟,弟|苐|茅|笫,so,2,第一名。,Hạng thứ nhất.,,,,,,,
次,cì,ci,4,thứ,lần,,二|欠,欠|吹|欢|资,so,2,第一次。,Lần đầu tiên.,,,,,,,
遍,biàn,bian,4,biến,lần (làm hết một lượt),,,扁|篇|骗|编,so,2,再读一遍。,Đọc lại một lần.,,,,,,,
双,shuāng,shuang,1,song,"đôi, cặp",,又|又,又|对|叉|欢,so,1,一双鞋。,Một đôi giày.,,,,,,,
对,duì,dui,4,đối,đúng; cặp,đôi với,,队|付|欢|难,so,1,一对鞋。,Một đôi giày.,,错,,,,,
只,zhī,zhi,1,chích,con (lượng từ động vật),,,只|口|另|叭,so,1,一只猫。,Một con mèo.,,,,,,,
条,tiáo,tiao,2,điều,"con, sợi (lượng từ)",,,各|修|除|涤,so,1,一条鱼。,Một con cá.,,,,,,,
张,zhāng,zhang,1,trương,tờ (lượng từ),,弓|长,长|弛|弦|引,so,1,一张纸。,Một tờ giấy.,,,,,,,
本,běn,ben,3,bản,quyển (lượng từ sách),gốc,木|一,木|术|末|体,so,1,一本书。,Một quyển sách.,,,,木,,,
杯,bēi,bei,1,bôi,"cốc, ly",,木|不,林|材|杆|杜,so,1,一杯水。,Một cốc nước.,,,,,,,
瓶,píng,ping,2,bình,"chai, lọ",,,瓦|拼|平|饼,so,1,一瓶水。,Một chai nước.,,,,,,,
碗,wǎn,wan,3,oản,"bát, tô",,石|宛,碎|碰|碑|石,so,1,一碗饭。,Một bát cơm.,,,,,,,
块,kuài,kuai,4,khối,miếng; đồng (tiền),,,快|决|块|央,so,1,一块钱。,Một đồng tiền.,,,,,,,
斤,jīn,jin,1,cân,cân (nửa kg),,,斥|近|听|欣,so,2,一斤苹果。,Nửa cân táo.,,,,,,,
亿,yì,yi,4,ức,trăm triệu,,,化|忆|乙|意,so,3,十亿人口。,Mười trăm triệu dân số.,,,,,,,
倍,bèi,bei,4,bội,lần (gấp),,,陪|培|部|倍,so,3,两倍大。,To gấp hai lần.,,,,,,,
单,dān,dan,1,đơn,"đơn, lẻ",,,弹|战|禅|战,so,3,单数。,Số lẻ.,,双,,,,,
整,zhěng,zheng,3,chỉnh,"tròn, chẵn (số)",,,正|敕|束|整,so,3,十点整。,Đúng mười giờ.,,,,,,,
共,gòng,gong,4,cộng,tổng cộng,,,供|洪|哄|巷,so,2,一共十个。,Tổng cộng mười cái.,,,,,,,
总,zǒng,zong,3,tổng,"tổng, chung",,,偬|忽|急|冲,so,2,总共多少钱？,Tổng cộng bao nhiêu tiền?,,,,,,,
计,jì,ji,4,kế,"tính, đếm",,讠|十,讨|订|计|认,so,3,计算数字。,Tính toán con số.,,,,,,,
数,shù,shu,4,số,"số, số lượng",,,娄|数|教|敌,so,2,数字很多。,Con số rất nhiều.,,,,,,,
量,liàng,liang,4,lượng,số lượng,,日|里,重|童|里|晕,so,2,数量很大。,Số lượng rất lớn.,,,,,,,
间,jiān,jian,1,gian,"khoảng giữa, phòng",,门|日,问|闻|们|间,phuong,1,房间很大。,Căn phòng rất lớn.,,,,,,,
旁,páng,pang,2,bàng,bên cạnh,,,房|傍|旅|旗,phuong,1,坐在旁边。,Ngồi bên cạnh.,,,,,,,
边,biān,bian,1,biên,"bên, cạnh",,,力|辺|辽|近,phuong,1,在这边。,Ở bên này.,,,,,,,
从,cóng,cong,2,tòng,từ (nơi nào đó),,,人|丛|外|北,phuong,2,从北京来。,Đến từ Bắc Kinh.,,,4,,人,2,4
到,dào,dao,4,đáo,đến (nơi nào đó),,,倒|列|至|致,phuong,1,到家了。,Về đến nhà rồi.,,,,,,,
向,xiàng,xiang,4,hướng,"hướng về, phía",,,问|同|尚|响,phuong,2,向前走。,Đi về phía trước.,,,,,,,
往,wǎng,wang,3,vãng,"đi về, hướng về",,,住|注|王|生,phuong,2,往南走。,Đi về phía nam.,,,,,,,
沿,yán,yan,2,duyên,dọc theo,,,铅|船|沿|谷,phuong,3,沿着河边走。,Đi dọc theo bờ sông.,,,,,,,
顶,dǐng,ding,3,đỉnh,"đỉnh, trên cùng",,页|丁,项|顺|顿|颈,phuong,2,山顶很冷。,Đỉnh núi rất lạnh.,,,,,,,
底,dǐ,di,3,để,"đáy, dưới cùng",,广|氐,低|抵|邸|底,phuong,2,在河底。,Ở đáy sông.,,,,,,,
角,jiǎo,jiao,3,giác,góc,,,用|甫|解|触,phuong,2,房间的角落。,Góc căn phòng.,,,,,,,
端,duān,duan,1,đoan,"đầu mút, đầu",,,瑞|喘|湍|颛,phuong,3,这一端。,Đầu này.,,,,,,,
处,chù,chu,4,xứ,"nơi, chốn",,,外|夕|各|折,phuong,3,好处很多。,Có nhiều chỗ lợi.,,,,,,,
境,jìng,jing,4,cảnh,"biên giới, cảnh vực",,土|竟,镜|竞|敬|竟,phuong,3,国境线。,Đường biên giới.,,,,,,,
域,yù,yu,4,vực,"khu vực, vùng",,土|或,感|惑|国|阈,phuong,3,这个区域。,Khu vực này.,,,,,,,
方,fāng,fang,1,phương,"phương hướng, vuông",,,万|放|房|芳,phuong,1,正方形。,Hình vuông.,,,,,,,
玩,wán,wan,2,ngoạn,chơi,,,玩|现|狂|环,dongtu,1,我们去玩。,Chúng ta đi chơi.,,,,,,,
睡,shuì,shui,4,thụy,ngủ,,目|垂,眼|睁|睛|盯,dongtu,1,我要睡觉了。,Tôi đi ngủ đây.,,,,,,,
起,qǐ,qi,3,khởi,"dậy, đứng lên",,走|己,赶|越|超|趣,dongtu,1,早上起床。,Buổi sáng thức dậy.,,,,,,,
穿,chuān,chuan,1,xuyên,mặc (quần áo),,,空|穷|窗|穴,dongtu,1,穿新衣服。,Mặc quần áo mới.,,,,,,,
脱,tuō,tuo,1,thoát,cởi (quần áo),,月|兑,说|悦|税|脸,dongtu,1,脱鞋子。,Cởi giày ra.,,,,,,,
卖,mài,mai,4,mại,bán,,,买|读|卖|读,dongtu,1,卖水果。,Bán trái cây.,,买,,,,,
送,sòng,song,4,tống,"tặng, đưa",,,关|运|远|近,dongtu,1,送礼物。,Tặng quà.,,,,,,,
拿,ná,na,2,nã,"cầm, lấy",,合|手,拾|拆|拥|拍,dongtu,1,拿着书。,Cầm quyển sách.,,,,,,,
带,dài,dai,4,đới,mang theo,,,常|带|市|布,dongtu,1,带伞出门。,Mang ô ra ngoài.,,,,,,,
留,liú,liu,2,lưu,"ở lại, giữ lại",,,田|溜|流|留,dongtu,1,留在家里。,Ở lại nhà.,,,,,,,
骑,qí,qi,2,kỵ,"cưỡi, đi xe (hai bánh)",,马|奇,骑|骄|骂|驾,dongtu,2,骑自行车。,Đi xe đạp.,,,,,,,
飞,fēi,fei,1,phi,bay,,,飞|风|习|飘,dongtu,2,鸟儿飞了。,Con chim bay đi.,,,,,,,
游,yóu,you,2,du,"bơi; đi chơi, dạo",,氵|㫃,海|河|湖|流,dongtu,2,去游泳。,Đi bơi.,,,,水,,,
跳,tiào,tiao,4,khiêu,nhảy,,足|兆,跑|跟|路|跌,dongtu,2,跳起来。,Nhảy lên.,,,,,,,
站,zhàn,zhan,4,trạm,đứng; trạm,,立|占,战|点|古|苦,dongtu,2,站起来。,Đứng dậy.,,,,,,,
叫,jiào,jiao,4,khiếu,"gọi, kêu",,口|丩,叶|号|另|叫,dongtu,2,妈妈叫我。,Mẹ gọi tôi.,,,,,,,
唱,chàng,chang,4,xướng,hát,,口|昌,喝|嘴|吃|喊,dongtu,2,唱一首歌。,Hát một bài.,,,,,,,
画,huà,hua,4,hoạ,vẽ,,,面|画|田|由,dongtu,2,画一只鸟。,Vẽ một con chim.,,,,,,,
记,jì,ji,4,ký,"nhớ, ghi",,讠|己,认|讨|计|记,dongtu,2,记住这个字。,Ghi nhớ chữ này.,,,,,,,
忘,wàng,wang,4,vong,quên,,亡|心,忙|忆|忘|念,dongtu,2,不要忘记。,Đừng quên.,,,,,,,
换,huàn,huan,4,hoán,đổi,,扌|奂,换|唤|涣|焕,dongtu,2,换衣服。,Thay quần áo.,,,,,,,
借,jiè,jie,4,tá,mượn,,亻|昔,错|措|惜|借,dongtu,2,借一本书。,Mượn một quyển sách.,,,,,,,
还,huán,huan,2,hoàn,trả lại,,,这|远|连|还,dongtu,2,还给你。,Trả lại cho bạn.,,,,,,,
修,xiū,xiu,1,tu,sửa chữa,,,修|条|攸|悠,dongtu,2,修理车子。,Sửa xe.,,,,,,,
建,jiàn,jian,4,kiến,xây dựng,,,健|键|建|延,dongtu,3,建一座桥。,Xây một cây cầu.,,,,,,,
锁,suǒ,suo,3,toả,khóa,,钅|贝,锁|销|锅|钱,dongtu,3,锁上门。,Khóa cửa lại.,,,,,,,
收,shōu,shou,1,thu,"thu, nhận",,,收|改|放|攻,dongtu,3,收到礼物。,Nhận được quà.,,,,,,,
存,cún,cun,2,tồn,"lưu, gửi",,,在|有|存|字,dongtu,3,存钱。,Gửi tiền tiết kiệm.,,,,,,,
胜,shèng,sheng,4,thắng,thắng,,,胜|生|胖|胎,dongtu,3,我们胜利了。,Chúng ta đã chiến thắng.,,败,,,,,
败,bài,bai,4,bại,thua,,贝|攵,贩|贴|败|贵,dongtu,3,这次败了。,Lần này thua rồi.,,胜,,,,,
加,jiā,jia,1,gia,"cộng, thêm vào",,力|口,加|架|如|办,dongtu,3,一加一。,Một cộng một.,,减,,,,,
减,jiǎn,jian,3,giảm,"trừ, giảm bớt",,,减|咸|感|城,dongtu,3,十减五。,Mười trừ năm.,,加,,,,,
乘,chéng,cheng,2,thừa,nhân (toán); đi (xe),,,乖|乘|北|乐,dongtu,3,三乘四。,Ba nhân bốn.,,,,,,,
除,chú,chu,2,trừ,chia (toán); trừ bỏ,,,队|阵|险|除,dongtu,3,十除以二。,Mười chia hai.,,,,,,,
等,děng,deng,3,đẳng,"chờ, đợi",,竹|寺,等|答|笑|第,dongtu,3,在这里等我。,Chờ tôi ở đây.,,,,,,,
追,zhuī,zhui,1,truy,đuổi theo,,,追|退|逃|运,dongtu,3,追上他。,Đuổi kịp anh ấy.,,,,,,,
逃,táo,tao,2,đào,trốn chạy,,,逃|跳|桃|挑,dongtu,3,逃走了。,Đã chạy trốn.,,,,,,,
藏,cáng,cang,2,tàng,"giấu, cất",,艹|臧,葬|截|减|臧,dongtu,3,藏起来。,Giấu đi.,,,,,,,
偷,tōu,tou,1,thâu,trộm cắp,,亻|俞,愉|偷|输|偏,dongtu,3,小偷偷钱。,Tên trộm lấy trộm tiền.,,,,,,,
夺,duó,duo,2,đoạt,"cướp, giành lấy",,大|寸,奋|夸|奇|奖,dongtu,3,夺走玩具。,Cướp mất đồ chơi.,,,,,,,
骂,mà,ma,4,mạ,"mắng, chửi",,口|马,骂|驾|驶|骑,dongtu,3,妈妈骂我。,Mẹ mắng tôi.,,,,,,,
劝,quàn,quan,4,khuyến,khuyên,,,劝|办|劳|劲,dongtu,3,劝他别走。,Khuyên anh ấy đừng đi.,,,,,,,
帮,bāng,bang,1,bang,giúp đỡ,,,帮|邦|帅|帝,dongtu,3,帮我一下。,Giúp tôi một chút.,,,,,,,
陪,péi,pei,2,bồi,"đi cùng, tháp tùng",,,陪|部|陈|陆,dongtu,3,陪我去。,Đi cùng tôi.,,,,,,,
聊,liáo,liao,2,liêu,"tán gẫu, chuyện phiếm",,,聊|耶|职|聪,dongtu,3,聊聊天。,Tán gẫu một chút.,,,,,,,
谈,tán,tan,2,đàm,"nói chuyện, bàn bạc",,讠|炎,谈|谁|请|谢,dongtu,3,谈一谈。,Bàn bạc một chút.,,,,,,,
讲,jiǎng,jiang,3,giảng,"giảng, kể",,讠|井,讲|讨|计|论,dongtu,3,讲故事。,Kể chuyện.,,,,,,,
练,liàn,lian,4,luyện,luyện tập,,,练|炼|恋|链,dongtu,3,练习汉字。,Luyện tập chữ Hán.,,,,,,,
考,kǎo,kao,3,khảo,"thi, kiểm tra",,,考|老|孝|拷,dongtu,3,考试很难。,Kỳ thi rất khó.,,,,,,,
查,chá,cha,2,tra,"tra cứu, kiểm tra",,木|且,查|茶|楂|渣,dongtu,3,查字典。,Tra từ điển.,,,,,,,
改,gǎi,gai,3,cải,sửa đổi,,己|攵,攻|收|放|政,dongtu,3,改一下。,Sửa một chút.,,,,,,,
交,jiāo,jiao,1,giao,"nộp, giao",,,交|文|亦|文,dongtu,3,交作业。,Nộp bài tập.,,,,,,,
寄,jì,ji,4,ký,"gửi (thư, đồ)",,宀|奇,寄|家|字|安,dongtu,3,寄信。,Gửi thư.,,,,,,,
取,qǔ,qu,3,thủ,lấy,,耳|又,取|职|联|聪,dongtu,3,取钱。,Lấy tiền.,,,,,,,
包,bāo,bao,1,bao,"bánh bao, gói",,,饱|抱|泡|跑,an,1,一个包子。,Một cái bánh bao.,,,,,,,
油,yóu,you,2,du,dầu ăn,,氵|由,油|由|抽|轴,an,1,锅里有油。,Trong nồi có dầu.,,,,,,,
咸,xián,xian,2,hàm,mặn,,,咸|感|减|盐,an,1,这个太咸了。,Cái này mặn quá.,,淡,,,,,
淡,dàn,dan,4,đạm,nhạt,,氵|炎,谈|淡|炎|谈,an,1,味道很淡。,Vị rất nhạt.,,咸,,,,,
豆,dòu,dou,4,đậu,đậu (hạt),,,豆|头|豆|痘,an,1,喝豆浆。,Uống sữa đậu nành.,,,,,,,
瓜,guā,gua,1,qua,dưa,,,瓜|爪|瓦|风,an,1,西瓜很甜。,Dưa hấu rất ngọt.,,,,,,,
糕,gāo,gao,1,cao,bánh ngọt,,米|羔,糖|糕|糟|米,an,1,生日蛋糕。,Bánh sinh nhật.,,,,,,,
饼,bǐng,bing,3,bính,bánh (dẹt),,饣|并,饭|饱|饼|饿,an,1,一块饼。,Một miếng bánh.,,,,,,,
渴,kě,ke,3,khát,khát nước,,氵|曷,喝|渴|渐|温,an,1,我很渴。,Tôi rất khát.,,,,,,,
饿,è,e,4,ngạ,đói,,饣|我,饭|饱|饼|饿,an,1,肚子饿了。,Bụng đói rồi.,,饱,,,,,
饱,bǎo,bao,3,bão,no,,饣|包,饿|饭|饼|饱,an,1,吃饱了。,Ăn no rồi.,,饿,,,,,
香,xiāng,xiang,1,hương,thơm,,,香|季|秀|委,an,1,饭很香。,Cơm rất thơm.,,臭,,,,,
醋,cù,cu,4,thố,giấm,,酉|昔,醋|酸|醉|醇,an,2,加一点醋。,Cho thêm chút giấm.,,,,,,,
酱,jiàng,jiang,4,tương,"tương, nước sốt",,,将|奖|浆|酱,an,2,辣椒酱。,Tương ớt.,,,,,,,
粥,zhōu,zhou,1,chúc,cháo,,,粥|弱|粒|米,an,2,喝白粥。,Ăn cháo trắng.,,,,,,,
鲜,xiān,xian,1,tiên,tươi,,鱼|羊,鲜|鲤|鲤|鱼,an,2,鱼很新鲜。,Cá rất tươi.,,,,,,,
葱,cōng,cong,1,thông,hành lá,,艹|囱,葱|忽|悤|聪,an,2,放一点葱。,Cho thêm chút hành.,,,,,,,
姜,jiāng,jiang,1,khương,gừng,,,姜|羌|善|美,an,2,姜和蒜。,Gừng và tỏi.,,,,,,,
蒜,suàn,suan,4,toán,tỏi,,,蒜|算|祘|示,an,2,大蒜很辣。,Tỏi rất cay.,,,,,,,
椒,jiāo,jiao,1,tiêu,"tiêu, ớt",,木|叔,椒|叔|椅|校,an,2,辣椒很辣。,Ớt rất cay.,,,,,,,
汁,zhī,zhi,1,trấp,"nước ép, nước sốt",,氵|十,汁|汗|江|汗,an,2,果汁很甜。,Nước ép rất ngọt.,,,,水,,,
皮,pí,pi,2,bì,"vỏ, da",,,皮|反|皱|波,an,2,苹果皮。,Vỏ táo.,,,5,,,,2
臭,chòu,chou,4,xú,"hôi, thối",,自|大,臭|息|自|臬,an,2,味道很臭。,Mùi rất hôi.,,香,,,,,
熟,shú,shu,2,thục,chín (đồ ăn); quen,,,熟|热|熊|熏,an,2,肉煮熟了。,Thịt đã nấu chín.,,,,,,,
凉,liáng,liang,2,lương,"mát, nguội",,氵|京,凉|京|凄|凑,an,2,凉水很舒服。,Nước mát rất dễ chịu.,,,,,,,
核,hé,he,2,hạch,"hạt, hột",,木|亥,核|该|孩|骸,an,3,桃核很硬。,Hạt đào rất cứng.,,,,,,,
籽,zǐ,zi,3,tử,hạt giống,,米|子,籽|籽|粒|种,an,3,西瓜籽。,Hạt dưa hấu.,,,,,,,
烫,tàng,tang,4,thảng,nóng bỏng,,,烫|汤|荡|烈,an,3,汤很烫。,Canh rất nóng.,,,,,,,
伞,sǎn,san,3,tản,"cái ô, cái dù",,,伞|命|全|拿,do_vat,1,下雨带伞。,Trời mưa mang ô.,,,,,,,
钱,qián,qian,2,tiền,tiền,,钅|戋,钱|线|钢|钟,do_vat,1,有多少钱？,Có bao nhiêu tiền?,,,,金,,,
药,yào,yao,4,dược,thuốc,,艹|约,药|乐|要|苏,do_vat,1,吃药了。,Đã uống thuốc.,,,9,木,,,3
刀,dāo,dao,1,đao,con dao,,,刀|力|刃|刁,do_vat,1,一把刀。,Một con dao.,,,2,金,,,2
针,zhēn,zhen,1,châm,cây kim,,钅|十,针|钉|钩|钥,do_vat,1,一根针。,Một cây kim.,,,,金,,,
线,xiàn,xian,4,tuyến,"sợi chỉ, đường dây",,纟|戋,线|钱|浅|残,do_vat,1,一根线。,Một sợi chỉ.,,,,,,,
镜,jìng,jing,4,kính,"gương, kính",,钅|竟,镜|境|竞|镇,do_vat,1,照镜子。,Soi gương.,,,,金,,,
表,biǎo,biao,3,biểu,đồng hồ đeo tay,,,表|衣|袋|裤,do_vat,1,一块手表。,Một cái đồng hồ.,,,,,,,
箱,xiāng,xiang,1,tương,"hòm, va li",,竹|相,箱|想|箱|篇,do_vat,1,一个箱子。,Một cái va li.,,,,,,,
袋,dài,dai,4,đại,"túi, bao",,代|衣,袋|带|裂|装,do_vat,1,一个袋子。,Một cái túi.,,,,,,,
盒,hé,he,2,hạp,hộp,,,盒|合|盆|盘,do_vat,1,一个盒子。,Một cái hộp.,,,,,,,
桶,tǒng,tong,3,đồng,"thùng, xô",,木|甬,桶|捅|通|桐,do_vat,1,一个水桶。,Một cái xô nước.,,,,,,,
盆,pén,pen,2,bồn,cái chậu,,分|皿,盆|盒|盘|盖,do_vat,1,洗脸盆。,Chậu rửa mặt.,,,,,,,
锅,guō,guo,1,oa,cái nồi,,钅|呙,锅|祸|锦|锈,do_vat,1,一口锅。,Một cái nồi.,,,,金,,,
勺,sháo,shao,2,thược,"cái muỗng, vá",,,勺|勾|句|匀,do_vat,2,一把勺子。,Một cái muỗng.,,,,,,,
叉,chā,cha,1,xoa,"cái nĩa, chĩa",,,叉|又|叉|支,do_vat,2,刀叉。,Dao và nĩa.,,,,,,,
筷,kuài,kuai,4,khoái,đũa,,竹|快,筷|筐|等|筒,do_vat,2,一双筷子。,Một đôi đũa.,,,,木,,,
巾,jīn,jin,1,cân,khăn,,,巾|币|中|布,do_vat,2,一条毛巾。,Một chiếc khăn.,,,,,,,
被,bèi,bei,4,bị,"chăn, mền",,,被|破|波|皮,do_vat,2,盖被子。,Đắp chăn.,,,,,,,
枕,zhěn,zhen,3,chẩm,cái gối,,木|尤,枕|沈|忱|枝,do_vat,2,一个枕头。,Một cái gối.,,,,,,,
毯,tǎn,tan,3,thảm,"tấm thảm, chăn",,,毯|毡|毛|毫,do_vat,2,地毯很软。,Thảm rất mềm.,,,,,,,
盘,pán,pan,2,bàn,"cái đĩa, mâm",,,盘|盆|盒|盖,do_vat,2,一个盘子。,Một cái đĩa.,,,,,,,
炉,lú,lu,2,lô,"cái lò, bếp",,火|户,炉|户|护|炒,do_vat,3,电炉子。,Lò điện.,,,,,,,
柜,guì,gui,4,quỹ,cái tủ,,木|巨,柜|拒|矩|框,do_vat,3,衣柜很大。,Tủ quần áo rất to.,,,,,,,
架,jià,jia,4,giá,"cái giá, kệ",,加|木,架|驾|嫁|价,do_vat,3,书架。,Kệ sách.,,,,,,,
阳,yáng,yang,2,dương,"ánh nắng, mặt trời",,,阳|阴|阵|防,thien_nhien,1,阳光很好。,Ánh nắng rất đẹp.,,阴,,火,,,
阴,yīn,yin,1,âm,"u ám, râm mát",,,阴|阳|阶|附,thien_nhien,1,天阴了。,Trời âm u rồi.,,阳,,,,,
雾,wù,wu,4,vụ,sương mù,,雨|务,雾|雪|露|雹,thien_nhien,1,雾很大。,Sương mù rất dày.,,,,,,,
虹,hóng,hong,2,hồng,cầu vồng,,虫|工,虹|虫|虽|蚂,thien_nhien,1,天上有彩虹。,Trên trời có cầu vồng.,,,,,,,
闪,shǎn,shan,3,thiểm,"chớp, lóe sáng",,门|人,闪|问|间|闹,thien_nhien,1,闪电了。,Có chớp rồi.,,,,,,,
晴,qíng,qing,2,tình,"trời quang, nắng ráo",,日|青,晴|睛|情|清,thien_nhien,1,今天很晴。,Hôm nay trời quang.,,,,火,,,
暖,nuǎn,nuan,3,noãn,ấm áp,,日|爰,暖|缓|援|暗,thien_nhien,1,天气很暖。,Thời tiết rất ấm.,,冷,,火,,,
干,gān,gan,1,can,khô,,,干|千|于|开,thien_nhien,1,天气很干。,Thời tiết khô.,,湿,,,,,
沙,shā,sha,1,sa,cát,,氵|少,沙|少|吵|沁,thien_nhien,1,沙子很热。,Cát rất nóng.,,,,土,,,
空,kōng,kong,1,không,"bầu trời, trống rỗng",,,空|穿|穹|窗,thien_nhien,1,天空很蓝。,Bầu trời rất xanh.,,,,,,,
气,qì,qi,4,khí,"không khí, khí",,,气|汽|乞|汽,thien_nhien,1,空气很新鲜。,Không khí rất trong lành.,,,,,,,
霜,shuāng,shuang,1,sương,sương giá,,雨|相,霜|雪|霉|霞,thien_nhien,2,下霜了。,Có sương giá rồi.,,,,,,,
露,lù,lu,4,lộ,"sương, lộ ra",,,露|路|雷|霜,thien_nhien,2,草上有露水。,Trên cỏ có sương.,,,,,,,
雷,léi,lei,2,lôi,sấm,,雨|田,雷|雪|雾|霜,thien_nhien,2,打雷了。,Có sấm rồi.,,,,,,,
温,wēn,wen,1,ôn,ấm,,氵|昷,温|湿|渴|港,thien_nhien,2,温度很高。,Nhiệt độ rất cao.,,,,,,,
潮,cháo,chao,2,triều,"ẩm ướt, thủy triều",,氵|朝,潮|朝|嘲|潜,thien_nhien,2,天气很潮。,Thời tiết rất ẩm.,,,,,,,
湿,shī,shi,1,thấp,ẩm ướt,,氵|显,湿|温|渴|漂,thien_nhien,2,衣服还湿。,Quần áo còn ẩm.,,干,,水,,,
波,bō,bo,1,ba,sóng,,氵|皮,波|坡|破|颇,thien_nhien,2,海面有波。,Mặt biển có sóng.,,,,,,,
浪,làng,lang,4,lãng,sóng lớn,,氵|良,浪|狼|朗|廊,thien_nhien,2,海浪很大。,Sóng biển rất lớn.,,,,,,,
岛,dǎo,dao,3,đảo,hòn đảo,,,岛|鸟|乌|岸,thien_nhien,2,一座海岛。,Một hòn đảo.,,,,,,,
